date,new_england,connecticut,maine,massachusetts,new_hampshire,rhode_island,vermont,middle_atlantic,new_jersey,new_york,pennsylvania,east_north_central,illinois,indiana,michigan,ohio,wisconsin,west_north_central,iowa,kansas,minnesota,missouri,nebraska,north_dakota,south_dakota,south_atlantic,delaware,district_of_columbia,florida,georgia,maryland,north_carolina,south_carolina,virginia,west_virginia,east_south_central,alabama,kentucky,mississippi,tennessee,west_south_central,arkansas,louisiana,oklahoma,texas,mountain,arizona,colorado,idaho,montana,nevada,new_mexico,utah,wyoming,pacific_contiguous,california,oregon,washington,pacific_noncontiguous,alaska,hawaii
2001-01-01,678.0,75.0,348.0,113.0,91.0,10.0,42.0,371.0,66.0,154.0,151.0,402.0,59.0,9.0,195.0,42.0,97.0,234.0,53.0,,178.0,1.0,2.0,1.0,0.0,1056.0,,,335.0,261.0,27.0,157.0,115.0,161.0,1.0,591.0,401.0,1.0,115.0,75.0,558.0,137.0,226.0,20.0,176.0,209.0,0.0,9.0,43.0,5.0,109.0,2.0,14.0,26.0,1883.0,1717.0,51.0,114.0,42.0,0.0,42.0
2001-02-01,599.0,77.0,293.0,103.0,83.0,9.0,35.0,338.0,59.0,141.0,138.0,348.0,48.0,9.0,169.0,34.0,87.0,196.0,41.0,,152.0,1.0,2.0,1.0,0.0,913.0,,,298.0,256.0,27.0,132.0,64.0,134.0,2.0,482.0,332.0,1.0,91.0,59.0,572.0,126.0,203.0,19.0,223.0,184.0,0.0,8.0,39.0,6.0,94.0,1.0,13.0,23.0,1642.0,1505.0,40.0,97.0,36.0,0.0,36.0
2001-03-01,660.0,96.0,327.0,101.0,93.0,9.0,33.0,381.0,73.0,156.0,153.0,387.0,54.0,9.0,193.0,40.0,91.0,205.0,45.0,,157.0,1.0,2.0,1.0,0.0,926.0,,,310.0,256.0,30.0,132.0,64.0,132.0,2.0,489.0,355.0,1.0,79.0,54.0,526.0,119.0,222.0,17.0,169.0,207.0,1.0,8.0,49.0,6.0,106.0,2.0,14.0,22.0,1984.0,1788.0,87.0,109.0,30.0,0.0,30.0
2001-04-01,593.0,92.0,277.0,106.0,81.0,9.0,27.0,361.0,66.0,141.0,154.0,372.0,50.0,8.0,196.0,36.0,82.0,244.0,62.0,,179.0,1.0,2.0,1.0,0.0,969.0,,,321.0,258.0,29.0,161.0,74.0,123.0,3.0,498.0,347.0,1.0,85.0,65.0,577.0,136.0,234.0,15.0,192.0,186.0,1.0,8.0,46.0,6.0,98.0,2.0,13.0,13.0,1982.0,1797.0,75.0,110.0,44.0,0.0,43.0
2001-05-01,640.0,72.0,336.0,109.0,86.0,9.0,27.0,392.0,73.0,159.0,161.0,367.0,56.0,7.0,197.0,33.0,74.0,230.0,57.0,,169.0,1.0,2.0,1.0,0.0,960.0,,,324.0,248.0,31.0,131.0,80.0,142.0,2.0,468.0,306.0,1.0,89.0,72.0,479.0,69.0,200.0,20.0,190.0,172.0,5.0,8.0,43.0,6.0,92.0,1.0,0.0,16.0,1982.0,1832.0,62.0,88.0,48.0,0.0,48.0
2001-06-01,633.0,71.0,324.0,113.0,88.0,9.0,29.0,380.0,72.0,154.0,154.0,365.0,60.0,10.0,180.0,33.0,82.0,204.0,44.0,,157.0,1.0,1.0,1.0,0.0,951.0,,,320.0,250.0,36.0,116.0,76.0,150.0,2.0,567.0,352.0,1.0,140.0,73.0,456.0,88.0,197.0,12.0,158.0,199.0,4.0,7.0,48.0,6.0,94.0,1.0,15.0,23.0,2162.0,1983.0,69.0,109.0,49.0,0.0,49.0
2001-07-01,632.0,72.0,323.0,111.0,90.0,8.0,28.0,400.0,76.0,153.0,171.0,417.0,64.0,11.0,217.0,33.0,90.0,171.0,30.0,,138.0,1.0,1.0,1.0,0.0,994.0,,,321.0,259.0,34.0,152.0,70.0,156.0,1.0,593.0,371.0,1.0,150.0,71.0,536.0,98.0,246.0,27.0,165.0,209.0,6.0,7.0,52.0,6.0,96.0,2.0,16.0,23.0,2248.0,2064.0,73.0,111.0,46.0,0.0,45.0
2001-08-01,684.0,72.0,365.0,113.0,85.0,8.0,41.0,407.0,74.0,159.0,174.0,430.0,63.0,13.0,223.0,36.0,95.0,178.0,34.0,,142.0,1.0,1.0,1.0,0.0,985.0,,,315.0,250.0,34.0,154.0,75.0,156.0,1.0,584.0,372.0,1.0,138.0,73.0,551.0,158.0,237.0,22.0,134.0,214.0,6.0,9.0,54.0,6.0,98.0,2.0,16.0,23.0,2218.0,2041.0,77.0,101.0,43.0,0.0,43.0
2001-09-01,635.0,69.0,339.0,103.0,81.0,8.0,35.0,374.0,70.0,147.0,157.0,384.0,56.0,11.0,190.0,37.0,90.0,183.0,36.0,,145.0,0.0,1.0,1.0,0.0,880.0,,,276.0,221.0,34.0,143.0,69.0,137.0,0.0,510.0,315.0,1.0,125.0,70.0,548.0,136.0,242.0,17.0,153.0,202.0,5.0,7.0,49.0,5.0,97.0,2.0,14.0,23.0,2018.0,1843.0,71.0,104.0,36.0,0.0,36.0
2001-10-01,551.0,69.0,250.0,116.0,80.0,8.0,29.0,371.0,70.0,138.0,164.0,420.0,55.0,8.0,220.0,33.0,103.0,239.0,63.0,,173.0,1.0,2.0,1.0,0.0,1003.0,,,323.0,269.0,30.0,166.0,70.0,144.0,0.0,570.0,342.0,1.0,156.0,72.0,663.0,161.0,263.0,23.0,215.0,235.0,4.0,10.0,37.0,4.0,104.0,2.0,16.0,58.0,1952.0,1759.0,80.0,112.0,46.0,0.0,46.0
