date,new_england,connecticut,maine,massachusetts,new_hampshire,rhode_island,vermont,middle_atlantic,new_jersey,new_york,pennsylvania,east_north_central,illinois,indiana,michigan,ohio,wisconsin,west_north_central,iowa,kansas,minnesota,missouri,nebraska,north_dakota,south_dakota,south_atlantic,delaware,district_of_columbia,florida,georgia,maryland,north_carolina,south_carolina,virginia,west_virginia,east_south_central,alabama,kentucky,mississippi,tennessee,west_south_central,arkansas,louisiana,oklahoma,texas,mountain,arizona,colorado,idaho,montana,nevada,new_mexico,utah,wyoming,pacific_contiguous,california,oregon,washington,pacific_noncontiguous,alaska,hawaii
Jan 2001,678,75,348,113,91,10,42,371,66,154,151,402,59,9,195,42,97,234,53,--,178,1,2,1,0,1056,--,--,335,261,27,157,115,161,1,591,401,1,115,75,558,137,226,20,176,209,0,9,43,5,109,2,14,26,1883,1717,51,114,42,0,42
Feb 2001,599,77,293,103,83,9,35,338,59,141,138,348,48,9,169,34,87,196,41,--,152,1,2,1,0,913,--,--,298,256,27,132,64,134,2,482,332,1,91,59,572,126,203,19,223,184,0,8,39,6,94,1,13,23,1642,1505,40,97,36,0,36
Mar 2001,660,96,327,101,93,9,33,381,73,156,153,387,54,9,193,40,91,205,45,--,157,1,2,1,0,926,--,--,310,256,30,132,64,132,2,489,355,1,79,54,526,119,222,17,169,207,1,8,49,6,106,2,14,22,1984,1788,87,109,30,0,30
Apr 2001,593,92,277,106,81,9,27,361,66,141,154,372,50,8,196,36,82,244,62,--,179,1,2,1,0,969,--,--,321,258,29,161,74,123,3,498,347,1,85,65,577,136,234,15,192,186,1,8,46,6,98,2,13,13,1982,1797,75,110,44,0,43
May 2001,640,72,336,109,86,9,27,392,73,159,161,367,56,7,197,33,74,230,57,--,169,1,2,1,0,960,--,--,324,248,31,131,80,142,2,468,306,1,89,72,479,69,200,20,190,172,5,8,43,6,92,1,0,16,1982,1832,62,88,48,0,48
Jun 2001,633,71,324,113,88,9,29,380,72,154,154,365,60,10,180,33,82,204,44,--,157,1,1,1,0,951,--,--,320,250,36,116,76,150,2,567,352,1,140,73,456,88,197,12,158,199,4,7,48,6,94,1,15,23,2162,1983,69,109,49,0,49
Jul 2001,632,72,323,111,90,8,28,400,76,153,171,417,64,11,217,33,90,171,30,--,138,1,1,1,0,994,--,--,321,259,34,152,70,156,1,593,371,1,150,71,536,98,246,27,165,209,6,7,52,6,96,2,16,23,2248,2064,73,111,46,0,45
Aug 2001,684,72,365,113,85,8,41,407,74,159,174,430,63,13,223,36,95,178,34,--,142,1,1,1,0,985,--,--,315,250,34,154,75,156,1,584,372,1,138,73,551,158,237,22,134,214,6,9,54,6,98,2,16,23,2218,2041,77,101,43,0,43
Sep 2001,635,69,339,103,81,8,35,374,70,147,157,384,56,11,190,37,90,183,36,--,145,0,1,1,0,880,--,--,276,221,34,143,69,137,0,510,315,1,125,70,548,136,242,17,153,202,5,7,49,5,97,2,14,23,2018,1843,71,104,36,0,36
Oct 2001,551,69,250,116,80,8,29,371,70,138,164,420,55,8,220,33,103,239,63,--,173,1,2,1,0,1003,--,--,323,269,30,166,70,144,0,570,342,1,156,72,663,161,263,23,215,235,4,10,37,4,104,2,16,58,1952,1759,80,112,46,0,46
